hydrophobicity_score	Recognition_score	self_sequence_similarity	EL_dissimilarity	EL_mt_rank	EL_wt_rank	EL_ht_rank	Pep_len	response
0.678442	5.89559501911e-05	0.854545454545	0.52669701074	1.9784	3.3715	3.3715	11	0
0.322097	3.58276336021e-09	0.906976744186	0.499921530943	0.3952	0.2647	3.8682	9	0
0.320273	5.89594286684e-05	0.796875	0.750330122053	1.6655	2.256	2.256	9	0
0.0720617	1.06686383487e-08	0.925925925926	0.000364725731795	3.5832	5.0583	5.0583	10	0
0.642983	0.666666666676	0.934426229508	0.526169476331	1.5426	1.6672	1.6672	11	0
0.178793	4.52707262271e-07	0.808510638298	0.50001445737	0.0245	0.1139	0.1139	9	0
0.119648	9.0536075574e-07	0.934782608696	0.499994625558	0.0787	0.0439	0.0439	9	0
0.0466957	1.36159492527e-06	0.927272727273	4.8895248748e-07	4.9062	5.3555	5.3555	10	0
0.0570856	0.00761977809858	0.918032786885	2.69779837283e-11	6.8672	51.0	51.0	10	0
0.876509	0.00767782866253	0.822580645161	4.39794718334e-31	15.9798	16.3125	25.3902	11	0
0.0690781	0.999941942563	0.954545454545	0.499987506744	0.2484	0.2138	0.2138	10	0
0.2754	3.50455894617e-09	0.849056603774	0.499671948578	0.6391	0.4597	0.4597	9	0
0.824264	0.00762066276238	0.813559322034	2.03812786628e-18	10.1469	16.0938	23.5614	11	0
0.0471405	3.53001602099e-09	0.944444444444	0.0038623168835	3.1095	2.9156	2.9156	10	0
0.804745	0.0151819203949	0.942307692308	5.0351664333e-17	9.5055	7.3863	7.3863	10	0
0.394042	4.63268723936e-07	0.78	0.998455485579	0.7057	11.6934	10.0468	9	0
0.545352	5.41992151515e-11	0.909090909091	1.53654545779e-05	4.2158	2.9465	2.9465	11	0
0.905817	0.500044216555	0.875	0.00216428141951	3.2267	4.8993	8.6496	10	0
0.243274	7.08505538655e-09	0.86	0.993317751034	0.8238	2.9687	0.5992	9	0
0.882373	7.00540071909e-09	0.847457627119	4.69355974451e-14	8.138	17.7532	35.8333	11	0
0.360665	0.667517782331	0.944444444444	0.577282307765	1.54	1.8014	1.8014	9	0
